begin,end,sub
1467334500,1467335100,2.0
1467342000,1467344100,7.0
1467344100,1467346800,9.0
1467347400,1467351300,13.0
1467351600,1467354900,11.0
1467354900,1467355800,3.0
1467356100,1467357300,4.0
1467357300,1467358500,4.0
1467358500,1467361500,10.0
1467361500,1467363600,7.0
1467363600,1467364200,2.0
1467364800,1467366900,7.0
1467366900,1467367800,3.0
1467383700,1467385500,6.0
1467385500,1467390300,16.0
1467390300,1467390900,2.0
1467390900,1467392100,4.0
1467392100,1467393600,5.0
1467393600,1467395100,5.0
1467395100,1467396000,3.0
1467396000,1467398700,9.0
1467398700,1467426600,93.0
1467439200,1467439800,2.0
1467481200,1467481800,2.0
1467482400,1467483000,2.0
1467502800,1467503400,2.0
1467512100,1467597300,284.0
1467668100,1467668700,2.0
1467675900,1467676500,2.0
1467689700,1467690300,2.0
1467811500,1467812100,2.0
1467813600,1467814200,2.0
1467819600,1467820200,2.0
1467821400,1467822000,2.0
1467822600,1467823200,2.0
1467823200,1467823800,2.0
1467827400,1467828000,2.0
1467851100,1467851700,2.0
1467944400,1467945000,2.0
1467946500,1467947100,2.0
1467948900,1467949500,2.0
1467950700,1467951300,2.0
1467952500,1467953100,2.0
1467954300,1467954900,2.0
1467956100,1467956700,2.0
1467975900,1467978000,7.0
1468072200,1468072800,2.0
1468072800,1468073400,2.0
1468075200,1468075800,2.0
1468080000,1468080600,2.0
1468084800,1468085400,2.0
1468085400,1468086000,2.0
1468086000,1468086600,2.0
1468089600,1468090200,2.0
1468116900,1468148400,105.0
1468194300,1468194900,2.0
1468206900,1468207500,2.0
1468207500,1468208100,2.0
1468213500,1468214100,2.0
1468214100,1468214700,2.0
1468214700,1468215300,2.0
1468220700,1468221300,2.0
1468223100,1468223700,2.0
1468227300,1468227900,2.0
1468228500,1468229100,2.0
1468230300,1468230900,2.0
1468231500,1468232100,2.0
1468233300,1468233900,2.0
1468339800,1468340400,2.0
1468348800,1468349400,2.0
1468361400,1468362000,2.0
1468365000,1468365600,2.0
1468370400,1468371000,2.0
1468455600,1468456500,3.0
1468459500,1468460100,2.0
1468482900,1468483500,2.0
1468485900,1468486500,2.0
1468489500,1468490100,2.0
1468490100,1468490700,2.0
1468491900,1468492500,2.0
1468494300,1468494900,2.0
1468497900,1468498500,2.0
1468498500,1468499100,2.0
1468501500,1468502100,2.0
1468502100,1468502700,2.0
1468503300,1468503900,2.0
1468505100,1468505700,2.0
1468508100,1468508700,2.0
1468549500,1468550700,4.0
1468572000,1468572600,2.0
1468615800,1468616400,2.0
1468617000,1468617600,2.0
1468622400,1468623000,2.0
1468629000,1468629600,2.0
1468632600,1468633200,2.0
1468635000,1468635600,2.0
1468635600,1468636200,2.0
1468640400,1468641000,2.0
1468697100,1468697700,2.0
1468714200,1468714800,2.0
1468758300,1468758900,2.0
1468760100,1468760700,2.0
1468761300,1468761900,2.0
1468761900,1468762500,2.0
1468763700,1468764300,2.0
1468764300,1468764900,2.0
1468767900,1468768500,2.0
1468772700,1468773300,2.0
1468773300,1468773900,2.0
1468779300,1468779900,2.0
1468887000,1468887600,2.0
1468895400,1468896000,2.0
1468896000,1468896600,2.0
1468897200,1468897800,2.0
1468898400,1468899000,2.0
1468902000,1468902600,2.0
1468904400,1468905000,2.0
1468908000,1468908600,2.0
1468909200,1468909800,2.0
1468974000,1468975200,4.0
1469025900,1469026500,2.0
1469026500,1469027100,2.0
1469027700,1469028300,2.0
1469030700,1469031300,2.0
1469032500,1469033100,2.0
1469036100,1469036700,2.0
1469042100,1469042700,2.0
1469042700,1469043300,2.0
1469043900,1469044500,2.0
1469045100,1469045700,2.0
1469046300,1469046900,2.0
1469046900,1469047500,2.0
1469049300,1469049900,2.0
1469061600,1469062200,2.0
1469065500,1469066100,2.0
1469164800,1469165400,2.0
1469165400,1469166000,2.0
1469167800,1469168400,2.0
1469168400,1469169000,2.0
1469169600,1469170200,2.0
1469170200,1469170800,2.0
1469186400,1469187000,2.0
1469288700,1469289300,2.0
1469300700,1469301300,2.0
1469304300,1469304900,2.0
1469308500,1469309100,2.0
1469313300,1469313900,2.0
1469315100,1469315700,2.0
1469317500,1469318100,2.0
1469328900,1469329800,3.0
1469330400,1469331000,2.0
1469434800,1469435400,2.0
1469435400,1469436000,2.0
1469436000,1469436600,2.0
1469443800,1469444400,2.0
1469446200,1469446800,2.0
1469447400,1469448000,2.0
1469449200,1469449800,2.0
1469453400,1469454000,2.0
1469454000,1469454600,2.0
1469454600,1469455200,2.0
1469457000,1469457600,2.0
1469523900,1469671800,493.0
1469676900,1469677500,2.0
1469677500,1469678100,2.0
1469686200,1469686800,2.0
1469686800,1469687400,2.0
1469687400,1469688000,2.0
1469692200,1469692800,2.0
1469697000,1469697600,2.0
1469701200,1469701800,2.0
1469707200,1469707800,2.0
1469710800,1469711400,2.0
1469712000,1469712600,2.0
1469743200,1469743800,2.0
1469765700,1469766300,2.0
1469808900,1469809500,2.0
1469817300,1469817900,2.0
1469825700,1469826300,2.0
1469828700,1469829300,2.0
1469831700,1469832300,2.0
1469834700,1469835300,2.0
1469835900,1469836500,2.0
1469840700,1469841300,2.0
1469850600,1469851200,2.0
1469947800,1469948400,2.0
1469949000,1469949600,2.0
1469950800,1469951400,2.0
1469952600,1469953200,2.0
1469953200,1469953800,2.0
1469953800,1469954400,2.0
1469959800,1469960400,2.0
1469964600,1469965200,2.0
1469967000,1469967600,2.0
1469971800,1469972400,2.0
1469973000,1469973600,2.0
1469980500,1469981100,2.0
1470024900,1470025500,2.0
1470033300,1470033900,2.0
1470038400,1470039000,2.0
1470063000,1470063600,2.0
1470078300,1470078900,2.0
1470084300,1470084900,2.0
1470086100,1470086700,2.0
1470088500,1470089100,2.0
1470089700,1470090300,2.0
1470090300,1470090900,2.0
1470093900,1470094500,2.0
1470095100,1470095700,2.0
1470095700,1470096300,2.0
1470165600,1470166200,2.0
1470197700,1470198300,2.0
1470208200,1470208800,2.0
1470217200,1470217800,2.0
1470217800,1470218400,2.0
1470225600,1470226200,2.0
1470226200,1470226800,2.0
1470228000,1470228600,2.0
1470228600,1470229200,2.0
1470243000,1470243900,3.0
1470265200,1470265800,2.0
1470270600,1470271200,2.0
