id,interrval,omit
02e99bd4f6cfb33f.csv,60,0
046ec29ddf80d62e.csv,300,0
07927a9a18fa19ae.csv,300,792
09513ae3e75778a3.csv,60,0
18fbb1d5a5dc099d.csv,60,0
1c35dbf57f55f5e4.csv,60,0
40e25005ff8992bd.csv,60,9456
54e8a140f6237526.csv,300,27
71595dd7171f4540.csv,60,8814
769894baefea4e9e.csv,300,0
76f4550c43334374.csv,300,0
7c189dd36f048a6c.csv,60,8793
88cf3a776ba00e7c.csv,60,30
8a20c229e9860d0c.csv,300,0
8bef9af9a922e0b3.csv,60,6441
8c892e5525f3e491.csv,60,8790
9bd90500bfd11edb.csv,60,0
9ee5879409dccef9.csv,60,30
a40b1df87e3f1c87.csv,60,7392
a5bf5d65261d859a.csv,60,0
affb01ca2b4f0b45.csv,60,8790
b3b2e6d1a791d63a.csv,300,27
c58bfcbacb2822d1.csv,60,0
cff6d3c01e6a6bfa.csv,60,8829
da403e4e3f87c9e0.csv,60,0
e0770391decc44ce.csv,60,8778
e5e3cd1a03fee6bd.csv,60,9480
