begin,end,sub
1491060000,1491060120,2.0
1491087780,1491087900,2.0
1491116760,1491116880,2.0
1491116880,1491117000,2.0
1491119040,1491119160,2.0
1491129840,1491129960,2.0
1491145500,1491145620,2.0
1491153300,1491153420,2.0
1491180600,1491180720,2.0
1491183600,1491183720,2.0
1491189120,1491189240,2.0
1491195060,1491195180,2.0
1491213060,1491213180,2.0
1491220020,1491220140,2.0
1491242220,1491242340,2.0
1491278940,1491279060,2.0
1491296820,1491296940,2.0
1491306540,1491306660,2.0
1491309480,1491309600,2.0
1491329220,1491329340,2.0
1491343800,1491343920,2.0
1491357900,1491358020,2.0
1491364200,1491364320,2.0
1491368400,1491368520,2.0
1491376680,1491376800,2.0
1491376860,1491376980,2.0
1491379620,1491379740,2.0
1491384360,1491384480,2.0
1491398160,1491398280,2.0
1491398820,1491398940,2.0
1491442260,1491442440,3.0
1491458640,1491458760,2.0
1491464160,1491464280,2.0
1491486120,1491486240,2.0
1491493680,1491493800,2.0
1491499740,1491499860,2.0
1491515220,1491515340,2.0
1491519060,1491519180,2.0
1491523560,1491523680,2.0
1491550200,1491550320,2.0
1491564900,1491565020,2.0
1491627480,1491627600,2.0
1491654000,1491654120,2.0
1491663000,1491663120,2.0
1491671280,1491671400,2.0
1491672600,1491672720,2.0
1491678960,1491679080,2.0
1491697620,1491697740,2.0
1491698100,1491698220,2.0
1491700740,1491700860,2.0
1491708600,1491708720,2.0
1491730140,1491730260,2.0
1491733380,1491733500,2.0
1491742680,1491742800,2.0
1491764220,1491764340,2.0
1491808980,1491809100,2.0
1491810120,1491810240,2.0
1491810600,1491810720,2.0
1491826680,1491826860,3.0
1491840360,1491840480,2.0
1491872760,1491872880,2.0
1491898740,1491898860,2.0
1491900780,1491900900,2.0
1491914460,1491914580,2.0
1491927180,1491927360,3.0
1491928680,1491928800,2.0
1491929160,1491929280,2.0
1491931800,1491931920,2.0
1491936120,1491936240,2.0
1491961320,1491961440,2.0
1491963060,1491963180,2.0
1491981420,1491981540,2.0
1491988560,1491988680,2.0
1491995280,1491995400,2.0
1491995580,1491995700,2.0
1491995820,1491995940,2.0
