begin,end,sub
1495621620,1495622580,16.0
1495622640,1495624020,23.0
1495624020,1495624140,2.0
1495624140,1495624260,2.0
1495624260,1495624380,2.0
1495624380,1495624500,2.0
1495624500,1495624620,2.0
1495624620,1495624740,2.0
1495624740,1495624860,2.0
1495624860,1495624980,2.0
1495624980,1495625100,2.0
1495625100,1495625220,2.0
1495625220,1495625400,3.0
1495625460,1495625580,2.0
1495625580,1495625700,2.0
1495625700,1495625820,2.0
1495625820,1495626000,3.0
1495626060,1495626180,2.0
1495626180,1495626300,2.0
1495628160,1495628280,2.0
1495630320,1495630440,2.0
1495630680,1495630800,2.0
1495637460,1495637580,2.0
1495637700,1495637820,2.0
1495638960,1495639080,2.0
1495639740,1495639860,2.0
1495641360,1495641480,2.0
1495645920,1495646040,2.0
1495654680,1495654800,2.0
1495658760,1495658880,2.0
1495662660,1495662780,2.0
1495667220,1495667340,2.0
1495669080,1495669200,2.0
1495671720,1495671840,2.0
1495680240,1495680360,2.0
1495685340,1495685460,2.0
1495686720,1495686840,2.0
1495693620,1495693740,2.0
1495694700,1495694820,2.0
1495697340,1495697520,3.0
1495697520,1495697760,4.0
1495697760,1495698060,5.0
1495698060,1495698360,5.0
1495698360,1495698600,4.0
1495698720,1495698960,4.0
1495698960,1495699260,5.0
1495699380,1495699560,3.0
1495699620,1495699800,3.0
1495699860,1495699980,2.0
1495699980,1495700160,3.0
1495700220,1495700460,4.0
1495700520,1495700760,4.0
1495700760,1495700880,2.0
1495700880,1495701120,4.0
1495701120,1495701360,4.0
1495701360,1495701660,5.0
1495701660,1495701960,5.0
1495701960,1495702260,5.0
1495702260,1495702560,5.0
1495702560,1495702860,5.0
1495702920,1495703160,4.0
1495703340,1495703460,2.0
1495703460,1495703640,3.0
1495703760,1495703880,2.0
1495703880,1495704060,3.0
1495704060,1495704360,5.0
1495704360,1495704600,4.0
1495704720,1495704900,3.0
1495705140,1495705260,2.0
1495705380,1495705500,2.0
1495705860,1495705980,2.0
1495706100,1495706220,2.0
1495706220,1495706460,4.0
1495706520,1495706760,4.0
1495706760,1495707060,5.0
1495707960,1495708260,5.0
1495708320,1495708560,4.0
1495708560,1495708860,5.0
1495708860,1495709160,5.0
1495709160,1495709460,5.0
1495709460,1495709760,5.0
1495709760,1495710060,5.0
1495710120,1495710360,4.0
1495710360,1495710660,5.0
1495710660,1495710960,5.0
1495710960,1495711260,5.0
1495711260,1495711560,5.0
1495711560,1495711860,5.0
1495711860,1495712160,5.0
1495712160,1495712400,4.0
1495712460,1495712760,5.0
1495712760,1495713060,5.0
1495713060,1495713360,5.0
1495713360,1495713660,5.0
1495713720,1495713960,4.0
1495714020,1495714260,4.0
1495714260,1495714560,5.0
1495714560,1495714860,5.0
1495714860,1495715160,5.0
1495715160,1495715460,5.0
1495715460,1495715760,5.0
1495715760,1495716060,5.0
1495716060,1495716360,5.0
1495716360,1495716660,5.0
1495716660,1495716960,5.0
1495716960,1495717260,5.0
1495717320,1495717560,4.0
1495717560,1495717860,5.0
1495717860,1495718160,5.0
1495718160,1495718460,5.0
1495718460,1495718760,5.0
1495718760,1495719060,5.0
1495719060,1495719360,5.0
1495719360,1495719660,5.0
1495719660,1495719960,5.0
1495719960,1495720260,5.0
1495720260,1495720560,5.0
1495720560,1495720860,5.0
1495720920,1495721160,4.0
1495721160,1495721460,5.0
1495721460,1495721760,5.0
1495721760,1495722060,5.0
1495722060,1495722360,5.0
1495722360,1495722660,5.0
1495722660,1495722960,5.0
1495722960,1495723260,5.0
1495723260,1495723560,5.0
1495723560,1495723860,5.0
1495723860,1495724160,5.0
1495724160,1495724460,5.0
1495724520,1495724760,4.0
1495724760,1495725060,5.0
1495725060,1495725360,5.0
1495725360,1495725660,5.0
1495725660,1495725960,5.0
1495725960,1495726260,5.0
1495726260,1495726560,5.0
1495726560,1495726860,5.0
1495726860,1495727160,5.0
1495727160,1495727460,5.0
1495727460,1495727760,5.0
1495727760,1495728120,6.0
1495728120,1495728360,4.0
1495728360,1495728660,5.0
1495728660,1495728960,5.0
1495728960,1495729560,10.0
1495729560,1495729860,5.0
1495729860,1495729980,2.0
1495729980,1495730100,2.0
1495730160,1495730460,5.0
1495730460,1495730760,5.0
