KPI ID,timestamp,alpha01EWMA,alpha03EWMA,alpha05EWMA,alpha07EWMA,alpha09EWMA
07927a9a18fa19ae,1467302400,0.197575041695,0.197575041695,0.197575041695,0.197575041695,0.197575041695
07927a9a18fa19ae,1467302700,0.197575041695,0.197575041695,0.197575041695,0.197575041695,0.197575041695
07927a9a18fa19ae,1467303000,0.1928052646866,0.1832657106698,0.173726156653,0.1641866026362,0.1546470486194
07927a9a18fa19ae,1467303300,0.18141406198067,0.15195396875705,0.12630969714015,0.10448124712997,0.08646861872651002
07927a9a18fa19ae,1467303600,0.164473039310843,0.109968928714655,0.069156766211275,0.039747058836671,0.019450313626811003
07927a9a18fa19ae,1467303900,0.14580350696557873,0.0703115648577185,0.023467241034737504,-0.0036314812482587007,-0.0180550243649389
07927a9a18fa19ae,1467304200,0.12574085090878087,0.03277117931968295,-0.01567790628383125,-0.039465581896157606,-0.051146250678653894
07927a9a18fa19ae,1467304500,0.1051339112841328,-0.0011587380775319352,-0.04800322581076562,-0.06806965630523727,-0.0774103158717954
07927a9a18fa19ae,1467304800,0.08403399077541952,-0.03257070479517235,-0.07693425980688282,-0.09452660255367118,-0.10301979600987954
07927a9a18fa19ae,1467305100,0.06180586508257757,-0.06427367320252064,-0.10759076297994141,-0.12513106707320137,-0.13472451913868796
07927a9a18fa19ae,1467305400,0.03895931519581981,-0.09498946137726444,-0.1371251983824707,-0.1542010637714604,-0.16346612232036878
07927a9a18fa19ae,1467305700,0.01527487296393783,-0.1258581551009851,-0.16750515275273536,-0.1847798941175381,-0.19444320864273687
07927a9a18fa19ae,1467306000,-0.009695036789655952,-0.15842797594228958,-0.20096468866236766,-0.2195309254356614,-0.2304261229790737
07927a9a18fa19ae,1467306300,-0.03505295175309036,-0.1898818390868027,-0.23211943754318384,-0.2501512081274984,-0.2599893800795074
07927a9a18fa19ae,1467306600,-0.060825710538581323,-0.22075144924316187,-0.26244998857559193,-0.27999174016384953,-0.28950142365515075
07927a9a18fa19ae,1467306900,-0.0869905828020232,-0.2512683444221133,-0.29246221087429597,-0.3097296252702548,-0.3191771322212151
07927a9a18fa19ae,1467307200,-0.1132020412408209,-0.28061939125247937,-0.32078368903214804,-0.3372925046140765,-0.3461123636931216
07927a9a18fa19ae,1467307500,-0.13908347214973882,-0.30803847897573555,-0.34640001968107403,-0.361599196615223,-0.3694259516663122
07927a9a18fa19ae,1467307800,-0.16475539712586493,-0.3343677518563149,-0.371101370796037,-0.3855416643222669,-0.39316504488653126
07927a9a18fa19ae,1467308100,-0.19028252618467842,-0.3600654326136204,-0.3955640292550185,-0.40968118069648,-0.41734052343125316
07927a9a18fa19ae,1467308400,-0.2159825291995106,-0.38623056972943426,-0.42142329279400925,-0.43600214364204404,-0.4442883530428253
07927a9a18fa19ae,1467308700,-0.24202878482815957,-0.4132949244564039,-0.4489341891400046,-0.46431220293281317,-0.4732294122416826
07927a9a18fa19ae,1467309000,-0.2676115009036436,-0.43866323079438274,-0.4733950673615024,-0.487792822787944,-0.49539329224886836
07927a9a18fa19ae,1467309300,-0.29324275665917926,-0.4642414790937679,-0.4986595629102512,-0.5130846877576832,-0.5210709818379868
07927a9a18fa19ae,1467309600,-0.3184957322708613,-0.4887007891984375,-0.5222160378431256,-0.535966165270505,-0.5433023596821988
07927a9a18fa19ae,1467309900,-0.34301442095427515,-0.5111953381704062,-0.5429493284740627,-0.5553676829546514,-0.5616445931627199
07927a9a18fa19ae,1467310200,-0.36769742907604763,-0.5347900873708843,-0.5663969153230314,-0.5795014564067954,-0.587024511271072
07927a9a18fa19ae,1467310500,-0.3923314072928429,-0.558564224532819,-0.5902170632835158,-0.6036764847928386,-0.6113359412467072
07927a9a18fa19ae,1467310800,-0.4156241042974586,-0.5785724703746732,-0.607737720311258,-0.6187838095751516,-0.6238661337297707
07927a9a18fa19ae,1467311100,-0.43865360145911275,-0.5987764520364712,-0.626828398112629,-0.6377784960123454,-0.6437137816955771
07927a9a18fa19ae,1467311400,-0.4611836622295015,-0.6183297791744298,-0.6453913036378145,-0.6561014952178036,-0.6619301664162577
07927a9a18fa19ae,1467311700,-0.4831985911145514,-0.6372307307461008,-0.6633621273589072,-0.673763514321341,-0.6793926726136258
07927a9a18fa19ae,1467312000,-0.5046655081316962,-0.6554218399080706,-0.6806149443224536,-0.6906364871966023,-0.6960202524187626
07927a9a18fa19ae,1467312300,-0.5255204388934266,-0.6727597326603494,-0.6969148800357268,-0.7064413171832806,-0.7114953594159763
07927a9a18fa19ae,1467312600,-0.5457245604890839,-0.6892003093172445,-0.7122382674428633,-0.7212255535499842,-0.7259550253065977
07927a9a18fa19ae,1467312900,-0.5656617724819756,-0.7059692206474711,-0.7286674739304317,-0.7379353423575953,-0.7431825149068598
07927a9a18fa19ae,1467313200,-0.584514834120578,-0.7204361711136298,-0.7414299313992159,-0.7493152749148786,-0.753091401471886
07927a9a18fa19ae,1467313500,-0.6035205283957203,-0.7366768528411408,-0.7580008541356079,-0.7669948262848635,-0.7724237393319886
07927a9a18fa19ae,1467313800,-0.6220103263853484,-0.7521993494763985,-0.773209681213804,-0.781991403689859,-0.7868190313959988
07927a9a18fa19ae,1467314100,-0.6400170636800135,-0.767162854433079,-0.787643690272902,-0.7960518106393577,-0.8005518325383999
07927a9a18fa19ae,1467314400,-0.6580829026842123,-0.7832166342197552,-0.804159571997451,-0.8132883607972072,-0.81866309160364
07927a9a18fa19ae,1467314700,-0.6756236837207912,-0.7982988578688286,-0.8188251425237256,-0.8274300073741622,-0.8320079509053641
07927a9a18fa19ae,1467315000,-0.6926137707613121,-0.8124665667459798,-0.8321748483248628,-0.8400961901004486,-0.8441728938039363
07927a9a18fa19ae,1467315300,-0.709302024931781,-0.8265754904619858,-0.8458355803954314,-0.8536762757563345,-0.8579639705997937
07927a9a18fa19ae,1467315600,-0.7249153315565029,-0.8382333706770899,-0.8556353357872157,-0.8619074465522003,-0.8646879791210793
07927a9a18fa19ae,1467315900,-0.7409458585320526,-0.8523295398675628,-0.8704279685496079,-0.87822665488406,-0.8831673390929079
07927a9a18fa19ae,1467316200,-0.7561703794267474,-0.8645879981509939,-0.881809518014304,-0.8887017437005179,-0.8921886946403907
07927a9a18fa19ae,1467316500,-0.7705444679284726,-0.8751849780388956,-0.890860391229152,-0.8965484082209554,-0.8991390074636391
07927a9a18fa19ae,1467316800,-0.7848376896649254,-0.8866724902151268,-0.902168538261076,-0.9083982021713866,-0.9120429175100639
07927a9a18fa19ae,1467317100,-0.7983986143082329,-0.8968048239799888,-0.911307737179538,-0.9168323159200159,-0.9196065342392065
07927a9a18fa19ae,1467317400,-0.8115880334844097,-0.9068512186069921,-0.920800271624769,-0.9262546590250047,-0.9292241788869207
07927a9a18fa19ae,1467317700,-0.8248244298468688,-0.9179814521575944,-0.9323761343668845,-0.9386427956838014,-0.9424792152867921
07927a9a18fa19ae,1467318000,-0.8377436532812819,-0.9287920157676159,-0.9431963992789423,-0.9494045036388403,-0.9528629193005792
07927a9a18fa19ae,1467318300,-0.8507493761682536,-0.9404946756826311,-0.9554986407149711,-0.962281968597352,-0.9663070858659579
07927a9a18fa19ae,1467318600,-0.8634797475127283,-0.9517621998617418,-0.9667758651639855,-0.9733217533083055,-0.9768784892382958
07927a9a18fa19ae,1467318900,-0.8756716148793555,-0.9618530662569191,-0.9760871431714928,-0.9817754208177916,-0.9845464279849296
07927a9a18fa19ae,1467319200,-0.88779141750282,-0.9723580387140434,-0.9864783921427465,-0.9923413750251373,-0.995637319801093
07927a9a18fa19ae,1467319500,-0.899393139271538,-0.9817932176568303,-0.9951435136663732,-1.0003684571405411,-1.0029915036511092
07927a9a18fa19ae,1467319800,-0.9104692004833842,-0.9903013777767811,-1.0026486325281867,-1.0072181631151624,-1.009437526616111
07927a9a18fa19ae,1467320100,-0.9213941115140458,-0.9991264576807468,-1.0111834716590935,-1.0159682664875487,-1.0186902323726112
07927a9a18fa19ae,1467320400,-0.9322830089186412,-1.0084734460445228,-1.0207332786095469,-1.0259886398382645,-1.0291238002412613
07927a9a18fa19ae,1467320700,-0.9429113199287772,-1.0175012479371661,-1.0296496988147736,-1.0347928752654796,-1.0376218871421263
07927a9a18fa19ae,1467321000,-0.9530613006908994,-1.0255742118210163,-1.0370304131823869,-1.0415256518646439,-1.0437322035092127
07927a9a18fa19ae,1467321300,-0.9626620086548094,-1.0326224623737112,-1.0430493967561933,-1.0468055617903929,-1.0485347626479211
07927a9a18fa19ae,1467321600,-0.9722465990703286,-1.0403880975045978,-1.0507786547830966,-1.0549972075041176,-1.057510597793792
07927a9a18fa19ae,1467321900,-0.9813447070682957,-1.0472399719682184,-1.0570031669165483,-1.0607585375862352,-1.0626559709243792
07927a9a18fa19ae,1467322200,-0.9903269252104662,-1.0544180469247528,-1.0640850277032743,-1.0680443832188706,-1.070315796733438
07927a9a18fa19ae,1467322500,-0.9991985911354195,-1.061805708185327,-1.071564306081637,-1.0757438240876611,-1.0781708056873438
07927a9a18fa19ae,1467322800,-1.0080895356398776,-1.0696964065837289,-1.0798361711308186,-1.0843987725522983,-1.0871143131307344
07927a9a18fa19ae,1467323100,-1.0169509457708898,-1.0777985756936102,-1.0882699040404091,-1.0930121776306894,-1.0957447045680733
07927a9a18fa19ae,1467323400,-1.025366934782801,-1.084792253752527,-1.0946903699652046,-1.0986812384122067,-1.1005742227578073
07927a9a18fa19ae,1467323700,-1.033294525943521,-1.0907474315437689,-1.0996666081776023,-1.102854363996662,-1.1042359840267808
07927a9a18fa19ae,1467324000,-1.0413764369091687,-1.0977572927606383,-1.1068901218888012,-1.1107358541189987,-1.113125870442678
07927a9a18fa19ae,1467324300,-1.0491221334022518,-1.1040801254844468,-1.1128617618644006,-1.1164041375236995,-1.1182626487002676
07927a9a18fa19ae,1467324600,-1.0572591362770267,-1.1120037364841127,-1.1216769620072002,-1.1262657547621098,-1.1292692108050268
07927a9a18fa19ae,1467324900,-1.065751440569324,-1.1210572692988787,-1.1319295706036,-1.137407251868633,-1.1408908823605026
