KPI ID,timestamp,alpha01EWMA,alpha03EWMA,alpha05EWMA,alpha07EWMA,alpha09EWMA
54e8a140f6237526,1469203200,-1.04808758252,-1.04808758252,-1.04808758252,-1.04808758252,-1.04808758252
54e8a140f6237526,1469203500,-1.04808758252,-1.04808758252,-1.04808758252,-1.04808758252,-1.04808758252
54e8a140f6237526,1469203800,-1.04518555875,-1.03938151121,-1.03357746367,-1.02777341613,-1.0219693685900002
54e8a140f6237526,1469204100,-1.0374991153424,-1.0180633952492,-1.000949294172,-0.9861568121108,-0.9736859490656
54e8a140f6237526,1469204400,-1.00228579849086,-0.9182541607225398,-0.8431576204994999,-0.7756032064121399,-0.7141979470508599
54e8a140f6237526,1469204700,-0.986534831175274,-0.8962107501062779,-0.84396687291725,-0.8240242496581419,-0.831718307506586
54e8a140f6237526,1469205000,-0.9967151713207465,-0.9538489948633945,-0.966152552773625,-1.0090440377384424,-1.0626762401176586
54e8a140f6237526,1469205300,-0.9572538513932718,-0.8483248880181761,-0.7841272624098126,-0.7241845917537327,-0.648159398853166
54e8a140f6237526,1469205600,-0.9501013568829446,-0.8595460934997231,-0.8349280843499063,-0.8372656119291196,-0.8619719555463166
54e8a140f6237526,1469205900,-0.9359346560205501,-0.8442125699275063,-0.8216812163044531,-0.8170837273600359,-0.8137881089877318
54e8a140f6237526,1469206200,-0.9588507776594952,-0.9404775606722544,-0.9933885443572266,-1.0606922288950107,-1.1299650960677732
54e8a140f6237526,1469206500,-0.9635298862085457,-0.9600268514155781,-0.9995152037536132,-1.0221569728735032,-1.0180741864417773
54e8a140f6237526,1469206800,-0.9943387142356912,-1.0535042459349047,-1.1355666851168067,-1.1967798083980508,-1.2462637684761777
54e8a140f6237526,1469207100,-1.008774680445122,-1.0790624850534332,-1.1371325307234033,-1.1561228059504152,-1.1494549155446177
54e8a140f6237526,1469207400,-1.03057090918661,-1.123364829895403,-1.1819347492917016,-1.2055527192871245,-1.2190087626284618
54e8a140f6237526,1469207700,-1.043564561065949,-1.134507609320782,-1.1712210886358507,-1.174021015372137,-1.166357561444846
54e8a140f6237526,1469208000,-1.066264571463354,-1.1753247260365474,-1.2208928768379255,-1.241601570139641,-1.2601439546804847
54e8a140f6237526,1469208300,-1.1016453009610188,-1.2487488681575831,-1.3204823716389626,-1.366530777549892,-1.4040790752640482
54e8a140f6237526,1469208600,-1.103058115752917,-1.208856242374308,-1.2181279102594813,-1.1910006474809676,-1.1446040115184049
54e8a140f6237526,1469208900,-1.1205495531336254,-1.2295911165300155,-1.2480501999097406,-1.2518809369362902,-1.2646356417558404
54e8a140f6237526,1469209200,-1.1672784430562628,-1.3370653172790108,-1.4179443261348703,-1.4870511977328869,-1.555518171299584
54e8a140f6237526,1469209500,-1.2115472919476364,-1.4189358016863074,-1.5139556290524352,-1.5730922116988661,-1.6045220559029585
54e8a140f6237526,1469209800,-1.2445554908268728,-1.4557438454024152,-1.5277924548962176,-1.55106816002766,-1.547918558256296
54e8a140f6237526,1469210100,-1.2087068698742855,-1.2848414761719906,-1.2069308680986088,-1.085568944918998,-0.9522542089965296
54e8a140f6237526,1469210400,-1.235066038212857,-1.3410785992983933,-1.3396147106793044,-1.3562796707576994,-1.420294118833653
54e8a140f6237526,1469210700,-1.2333632976375712,-1.3041666092468753,-1.2788266715696524,-1.25951094394931,-1.2382641810973656
54e8a140f6237526,1469211000,-1.2741997258208142,-1.4054349003138127,-1.4602771255198261,-1.5270625888137928,-1.6013812396327365
54e8a140f6237526,1469211300,-1.2589563295547328,-1.3203341591676687,-1.291021444339913,-1.2433548108561379,-1.1697273108072737
54e8a140f6237526,1469211600,-1.3208206030642595,-1.487513630812368,-1.5843102544949565,-1.6873257885118413,-1.8068118892657274
54e8a140f6237526,1469211900,-1.3376653530528335,-1.4880399724536577,-1.5367891787224783,-1.5486854086185522,-1.5210224815815727
54e8a140f6237526,1469212200,-1.3815256012315502,-1.5745083311695605,-1.6565285067812394,-1.7079931069735659,-1.7507432995141579
54e8a140f6237526,1469212500,-1.4209507398583952,-1.6348889280686922,-1.7161527471406197,-1.7554418233420697,-1.773273618701416
54e8a140f6237526,1469212800,-1.4192357472895556,-1.5655624938990844,-1.55997678065531,-1.5092931169216208,-1.4407480946231417
54e8a140f6237526,1469213100,-1.4520041400676,-1.619969648250359,-1.653448227862655,-1.6756317076254863,-1.7163025170253141
54e8a140f6237526,1469213400,-1.4492349812268401,-1.5612725192732513,-1.5388803897613275,-1.499708298449646,-1.4535115481965315
54e8a140f6237526,1469213700,-1.4063552788621563,-1.3990221507652758,-1.2796591736706637,-1.1642190598408935,-1.063745316641653
54e8a140f6237526,1469214000,-1.4068336242589405,-1.402657125384693,-1.3453989532503319,-1.337062830933268,-1.3763993912111654
54e8a140f6237526,1469214300,-1.4074373320800464,-1.4057211985102849,-1.3791348278601658,-1.3901283410089804,-1.4092235713441166
54e8a140f6237526,1469214600,-1.4314585825010417,-1.4782997898441994,-1.513392332075083,-1.5703933877056941,-1.6238072097954117
54e8a140f6237526,1469214900,-1.4867518539609375,-1.6301272420209396,-1.7488918145875414,-1.860191924281708,-1.9483328883695412
54e8a140f6237526,1469215200,-1.4787163044438438,-1.5630079770516576,-1.5776440866887707,-1.5425350284375123,-1.4605900117479542
54e8a140f6237526,1469215500,-1.4779640638124594,-1.53546375337516,-1.5244189924093852,-1.4925962372222534,-1.4701335094917956
54e8a140f6237526,1469215800,-1.4723198013752135,-1.501281059194612,-1.4729702159246925,-1.442843878774676,-1.4263826464451796
54e8a140f6237526,1469216100,-1.4417337971676922,-1.4008346692262281,-1.3197149876123462,-1.2493749951424027,-1.1924520480145178
54e8a140f6237526,1469216400,-1.4934229649679231,-1.5681719110093597,-1.6391702313911733,-1.7458503311617208,-1.8820081324544522
54e8a140f6237526,1469216700,-1.515868698776131,-1.6130844286215518,-1.6785252672205866,-1.7262713114835162,-1.7342930859904455
54e8a140f6237526,1469217000,-1.5647083371345178,-1.730438624743086,-1.8413951747902932,-1.9208669510970546,-1.9772678827230445
54e8a140f6237526,1469217300,-1.5488700219770661,-1.6332045929881602,-1.6238601801751467,-1.5606877152211163,-1.4634194552763045
54e8a140f6237526,1469217600,-1.5543003731853595,-1.624195275309712,-1.6135168571175735,-1.5904277884083349,-1.5891981261816306
54e8a140f6237526,1469217900,-1.5974842320668237,-1.7327783813167983,-1.7998279095587868,-1.8674256099225004,-1.9464448784181632
54e8a140f6237526,1469218200,-1.6199075732381414,-1.7594601600557587,-1.8107727766693933,-1.83543003362275,-1.8341903672438165
54e8a140f6237526,1469218500,-1.6115191692523272,-1.692429172053031,-1.6733981550246968,-1.6258454834528249,-1.5658402167663819
54e8a140f6237526,1469218800,-1.6415249997550945,-1.7581736627211217,-1.7924878146523484,-1.8258578770318474,-1.8770037485286384
54e8a140f6237526,1469219100,-1.605454615334585,-1.614967910569785,-1.5366544851011743,-1.4443321719945543,-1.3404394148478638
54e8a140f6237526,1469219400,-1.6057099755011266,-1.6128800024988494,-1.5723313510505872,-1.5589054034983663,-1.5812513367847867
54e8a140f6237526,1469219700,-1.613045906655014,-1.6327367878611945,-1.6257003190452934,-1.6430201219775098,-1.6692874920144787
54e8a140f6237526,1469220000,-1.6405609820885128,-1.709374749799836,-1.7569484900176469,-1.814643699286253,-1.866305744092448
54e8a140f6237526,1469220300,-1.7195158290256616,-1.9255951602978851,-2.0935289707388236,-2.245469725807876,-2.3737290807232445
54e8a140f6237526,1469220600,-1.6797829858280955,-1.7445728313235196,-1.7078581838944118,-1.5991720956773627,-1.4273415654173247
54e8a140f6237526,1469220900,-1.609234422681386,-1.5134901882347636,-1.3410777691277058,-1.1617597767559087,-1.0196017754666324
54e8a140f6237526,1469221200,-1.5689585822672474,-1.4213859373263344,-1.273776893833853,-1.1930611460047726,-1.1877885942326634
54e8a140f6237526,1469221500,-1.5144105572575226,-1.3020136557794342,-1.1486276130019264,-1.0743531763204317,-1.0399093583762664
54e8a140f6237526,1469221800,-1.4939396409257704,-1.3043199772276037,-1.229164503470963,-1.2390969286541296,-1.2827221903836268
54e8a140f6237526,1469222100,-1.4183165480464934,-1.1343365976992226,-0.9834366078019816,-0.8881251770893388,-0.7922100599580628
54e8a140f6237526,1469222400,-1.4015113605458442,-1.1691150203014558,-1.1168506404209908,-1.1416228242548017,-1.2044592117318063
54e8a140f6237526,1469222700,-1.3877713125132598,-1.1976137782770189,-1.1904807603204954,-1.2273644634304404,-1.2581457133711806
54e8a140f6237526,1469223000,-1.341546828104534,-1.1159875853217132,-1.0580036143732476,-1.016077866927332,-0.958788392920518
54e8a140f6237526,1469223300,-1.3286891129040805,-1.1450822125551992,-1.135486645236624,-1.1539021333481996,-1.1875515477820517
54e8a140f6237526,1469223600,-1.3148127781646726,-1.1585352784416394,-1.162706205373312,-1.1791186758614598,-1.189688343737205
54e8a140f6237526,1469223900,-1.3521745885732055,-1.3175039595841476,-1.4255685438116559,-1.5356372203334379,-1.6385566283987205
54e8a140f6237526,1469224200,-1.358609266838885,-1.3472091830779032,-1.421044957520828,-1.4522561259610312,-1.438724896946872
54e8a140f6237526,1469224500,-1.3874611048649965,-1.437184722284532,-1.5340863023104139,-1.5886661907583093,-1.6262873720846873
54e8a140f6237526,1469224800,-1.398446868523497,-1.4552249280341722,-1.5157025218802072,-1.5247229762424928,-1.510215604513469
54e8a140f6237526,1469225100,-1.4042232356081472,-1.4555206114349204,-1.4859565306251037,-1.4767642704317476,-1.461611045884347
54e8a140f6237526,1469225400,-1.3706667232503327,-1.3394618616134444,-1.2773073213275519,-1.1910899595505242,-1.1079534054154347
54e8a140f6237526,1469225700,-1.3566771477182993,-1.306854593508411,-1.254039144628776,-1.2188666654161573,-1.2184892116785435
54e8a140f6237526,1469226000,-1.3222013717414693,-1.2183740318408876,-1.132979266289388,-1.0740035711898472,-1.0325763703228543
54e8a140f6237526,1469226300,-1.2720546494817224,-1.0990820670318213,-0.9768567077166941,-0.8967149757577542,-0.8419183712618854
54e8a140f6237526,1469226600,-1.2528322651835502,-1.093306688872275,-1.0283437571083471,-1.024896057277326,-1.0560395629761885
54e8a140f6237526,1469226900,-1.1881309109238951,-0.9470602989866924,-0.8170812398476736,-0.7315419229940978,-0.6508408066259189
54e8a140f6237526,1469227200,-1.1108059626295057,-0.7874066376846847,-0.6159813339138368,-0.5098795764842293,-0.4384773658445919
54e8a140f6237526,1469227500,-1.107166333161555,-0.8735075467642792,-0.8451955009319183,-0.9050506405102687,-1.0108164377394593
54e8a140f6237526,1469227800,-1.0942299710933996,-0.9047960964789954,-0.9114991067059591,-0.9559770908890806,-0.9811040850059459
54e8a140f6237526,1469228100,-1.0552232159732597,-0.8446059935028968,-0.8078307632989796,-0.7797068211911242,-0.7318565864033947
54e8a140f6237526,1469228400,-1.0275788501453338,-0.8248580627602278,-0.7933051604964898,-0.7790577367431373,-0.7740872605649395
54e8a140f6237526,1469228700,-1.0048337378515004,-0.8174389620942594,-0.7967164438517449,-0.7938067300678411,-0.797523680542794
54e8a140f6237526,1469229000,-0.9715546148341504,-0.7738200257693816,-0.7343794757648725,-0.7085717743949522,-0.6845906249644794
54e8a140f6237526,1469229300,-0.9467252337735353,-0.7586522593069671,-0.7288201399964362,-0.7188540952780857,-0.7193937863016481
54e8a140f6237526,1469229600,-0.9451962081583818,-0.8104870748014769,-0.8301275588092181,-0.8676607129188256,-0.9102308584899648
54e8a140f6237526,1469229900,-0.9446130808572436,-0.8491504329051338,-0.8847462469781091,-0.9178536684785477,-0.9364515274812966
54e8a140f6237526,1469230200,-0.9368830745538193,-0.8545992083804936,-0.8760296324005545,-0.8824752130196643,-0.8742268687888297
